date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:17:43	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2023%20Nov%202020%2003:17:50%20GMT	http://bathprorefinishing.com/robots.txt		(from )
10:17:43	32788/32788	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2021:38:12%20GMT	http://bathprorefinishing.com/about-bathpro-kitchen-and-bathroom-resurfacers-florida/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/about-bathpro-kitchen-and-bathroom-resurfacers-florida/index.html	(from )
10:17:43	31944/31944	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2021:27:05%20GMT	http://bathprorefinishing.com/why-refinish-or-resurface-bathtubs-apopka-florida/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/why-refinish-or-resurface-bathtubs-apopka-florida/index.html	(from )
10:17:43	34364/34364	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2021:43:26%20GMT	http://bathprorefinishing.com/choosing-a-refinisher-for-bathroom-and-kitchen-refinishing-projects/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/choosing-a-refinisher-for-bathroom-and-kitchen-refinishing-projects/index.html	(from )
10:17:44	34542/34542	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Nov%202020%2003:17:51%20GMT	http://bathprorefinishing.com/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/index.html	(from )
10:17:44	32555/32555	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2021:45:05%20GMT	http://bathprorefinishing.com/refinishing-process-orlando-florida/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/refinishing-process-orlando-florida/index.html	(from )
10:17:44	34648/34648	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2021:46:54%20GMT	http://bathprorefinishing.com/frequently-asked-questions-for-kitchen-and-bathtub-resurfacing/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/frequently-asked-questions-for-kitchen-and-bathtub-resurfacing/index.html	(from )
10:17:45	35563/35563	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2021:47:55%20GMT	http://bathprorefinishing.com/job-photos-bathtub-resurfacing-apopka-florida/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/job-photos-bathtub-resurfacing-apopka-florida/index.html	(from )
10:17:45	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Nov%202020%2003:17:53%20GMT	http://bathprorefinishing.com/static/js/analytics.js	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/static/js/analytics.js	(from http://bathprorefinishing.com/)
10:17:45	32006/32006	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Jan%202015%2021:49:00%20GMT	http://bathprorefinishing.com/contact-bathtub-resurfacing-company-tampa-florida/	C:/Users/Admin/Desktop/A%20bath%20pro/a%20bath%20pro/bathprorefinishing.com/contact-bathtub-resurfacing-company-tampa-florida/index.html	(from )
